Filename	Content
discord-20250408/voice-message (1).txt	馬卓學校老師教學生大聲插著幾百記憶吧記憶吧
discord-20250408/voice-message (10).txt	我超喜欢伊兰的捏
discord-20250408/voice-message (11).txt	可是伊蘭的溫泉很沾
discord-20250408/voice-message (12).txt	我要吃牛肉麵再見啦
discord-20250408/voice-message (13).txt	貓貓貓貓
discord-20250408/voice-message (14).txt	快點,快點,快點快點,快點,快點
discord-20250408/voice-message (15).txt	那是...啊!七川啊!為什麼他在吃呢?他快吃一川啊!啊!快吃一川啊!啊!啊!快吃那餐起司乳液!快點吃一川啊!啊!啊!什麼事呢?什麼事呢?什麼事呢?什麼事呢?什麼事呢?什麼事呢?
discord-20250408/voice-message (16).txt	馬卓學校老師教學生大聲插著幾百記憶吧記憶吧
discord-20250408/voice-message (17).txt	七七八八七八八
discord-20250408/voice-message (18).txt	我也 Ehhhh我要上词曲
discord-20250408/voice-message (19).txt	有苦說不出有苦說不出啊
discord-20250408/voice-message (2).txt	七七八八七八八
discord-20250408/voice-message (20).txt	小姑好你自己
discord-20250408/voice-message (21).txt	喔!!通通
discord-20250408/voice-message (22).txt	喔現在巴上超鳥的就很賣沒有皮蛋豆腐到底是在幹嘛呢
discord-20250408/voice-message (23).txt	而且吃不下
discord-20250408/voice-message (24).txt	為什麼有些人可以點石顆水餃又可以在澱一份乾麵然後又在點一個糖這樣不會突罵去嗎
discord-20250408/voice-message (25).txt	我張雅妒笑
discord-20250408/voice-message (26).txt	亂講哪有你想成為我的數碟是不是BAMBAMBAMBAMBAM
discord-20250408/voice-message (27).txt	Oh 痛苦每個人都想成為我的Support 的笑容都沒你的天 發月 整物的樣光都沒你 腰眼熱愛你 白臨 無度的你這真正的真流水
discord-20250408/voice-message (28).txt	喔 痛苦那可認同鄉城為我的屬地
discord-20250408/voice-message (29).txt	你知道惡成惡的有少嗎?沒有錯死死喔
discord-20250408/voice-message (3).txt	¡Sésame!
discord-20250408/voice-message (30).txt	我想睡覺了
discord-20250408/voice-message (31).txt	我又偶射了我又偶射了我又偶射了
discord-20250408/voice-message (4).txt	我要做私你
discord-20250408/voice-message (5).txt	嗯,就是,就是,今天我要出三名字很多菜的那一肉
discord-20250408/voice-message (6).txt	果然偶像跟直播是沒有辦法並存的嗎?
discord-20250408/voice-message (7).txt	Dong dong dong 风气 风气 风气 风气
discord-20250408/voice-message (8).txt	其實...沒有 不用連我上漁殼,我會讓我快把光切到然後進來該不關?不關,遭口體不用付開
discord-20250408/voice-message (9).txt	有聽說呢,所以真的會猜很久嗎?
discord-20250408/voice-message.txt	那是...啊!七川啊!為什麼他在這裡?他快七川啊!啊!快七川啊!啊!啊!為什麼他在這裡?因為...快一點!七川啊!啊!啊!七川啊!七川啊!七川啊!七川啊!七川啊! 꼽!七川啊!
